iter	Passed	Remaining
0	0	72
1	1	64
2	1	61
3	2	60
4	3	60
5	4	72
6	5	72
7	6	70
8	6	67
9	7	65
10	7	63
11	8	61
12	8	60
13	9	58
14	10	57
15	10	56
16	11	55
17	11	54
18	12	53
19	13	52
20	13	51
21	14	50
22	14	49
23	15	48
24	16	48
25	16	47
26	17	47
27	18	48
28	19	48
29	20	48
30	21	47
31	21	46
32	22	45
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	26	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	33
47	30	33
48	31	32
49	32	32
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	36	29
56	37	28
57	38	27
58	38	26
59	39	26
60	39	25
61	40	24
62	41	24
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	49	17
74	50	16
75	50	16
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	54	11
83	55	10
84	55	9
85	56	9
86	56	8
87	57	7
88	58	7
89	58	6
90	59	5
91	59	5
92	60	4
93	61	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	65	0
